"","book","release","chapter","page","variable_name","old_name","order","vector","item_id","lrn_question_reference","lrn_activity_reference","lrn_question_position","item_type","lrn_type","prompt","lrn_option_0","lrn_option_1","lrn_option_2","lrn_option_3","lrn_option_4","lrn_option_5","lrn_option_6","lrn_option_7","lrn_option_8","lrn_option_9","lrn_option_10","lrn_option_11"
"1","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","bcol1_2",NA,1,FALSE,"Mid1_Belonging1","16f1d81d-1666-4b6e-9e11-613b54648c99","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I feel like this school is a good fit for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"2","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","bun2_2",NA,1,FALSE,"Mid1_Belonging1","0d3fad39-a747-4e52-8636-e96fa5c04429","Mid1_Survey_0722",NA,"learnosity-activity","mcq","Sometimes I feel that I belong at this school, and sometimes I feel that I don't belong at this school.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"3","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","anx_ma_2",NA,1,FALSE,"Mid1_Concerns","2be238ef-a233-4c66-a5e2-b9ebbd30a852","Mid1_Survey_0722",NA,"learnosity-activity","mcq","In general, I tend to feel very anxious about mathematics.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"4","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","conf_2",NA,1,FALSE,"Mid1_Confidence","fb3915eb-1a9f-4c15-b96e-d759abd22c9e","Mid1_Survey_0722",NA,"learnosity-activity","mcq","How confident are you in your R skills?","Not at all confident","Only a little confident","Somewhat confident","Mostly confident","Completely confident","",NA,"","",NA,NA,NA
"5","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","cost2_2",NA,1,FALSE,"Mid1_Cost","50ef95c0-4d79-4357-96b6-f9f6a4e38234","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I have to give up too much to do well in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"6","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","cost3_2",NA,1,FALSE,"Mid1_Cost","898453d2-dd94-4359-8369-70775e95a8bb","Mid1_Survey_0722",NA,"learnosity-activity","mcq","This course is too stressful for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"7","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","exp1_2",NA,1,FALSE,"Mid1_Expectancy","d90fce29-d813-43cb-b076-301fc1345b6a","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I am confident I can learn the material in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"8","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","exp2_2",NA,1,FALSE,"Mid1_Expectancy","4eba46ac-aa93-46c0-8c67-2569ce5cd35a","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I expect to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"9","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","feedback",NA,1,FALSE,"Mid1_Feedback","f1b4c400-30cf-4c62-9545-490d7e6f2706","Mid1_Survey_0722",NA,"learnosity-activity","plaintext","In Chapter 4, you might have noticed that you&nbsp;received feedback on multiple choice questions and saw sample answers to open-ended questions. We'd love to hear your opinions about those things.","","","","","","",NA,"","",NA,NA,NA
"10","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","im1_2",NA,1,FALSE,"Mid1_Instructor","b964bb04-4841-4d4e-b1f2-606f358a10c1","Mid1_Survey_0722",NA,"learnosity-activity","mcq","My instructor seems to believe that students have a certain amount of intelligence, and they really can't do much to change it.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
