"","book","release","chapter_num","num_pages","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"1","College / Statistics and Data Science (ABC)","v5.0-exp1",1,5,24,14,14,13,13,0,0,0,0,0,0,0,1
"2","College / Statistics and Data Science (ABC)","v5.0-exp1",2,11,26,82,71,63,54,0,9,0,0,0,0,2,17
"3","College / Statistics and Data Science (ABC)","v5.0-exp1",3,11,29,88,75,65,60,2,1,2,0,0,0,2,21
"4","College / Statistics and Data Science (ABC)","v5.0-exp1",4,16,19,135,92,96,81,2,9,3,1,0,0,3,36
"5","College / Statistics and Data Science (ABC)","v5.0-exp1",5,12,12,71,55,52,45,4,3,0,0,0,0,0,19
"6","College / Statistics and Data Science (ABC)","v5.0-exp1",6,14,19,100,79,78,67,5,4,0,1,1,0,0,22
"7","College / Statistics and Data Science (ABC)","v5.0-exp1",7,11,7,56,40,54,50,4,0,0,0,0,0,0,2
"8","College / Statistics and Data Science (ABC)","v5.0-exp1",8,8,12,60,42,57,50,5,1,0,0,0,1,0,3
"9","College / Statistics and Data Science (ABC)","v5.0-exp1",9,13,13,102,80,85,80,5,0,0,0,0,0,2,15
"10","College / Statistics and Data Science (ABC)","v5.0-exp1",10,7,12,54,30,50,50,0,0,0,0,0,0,0,4
"11","College / Statistics and Data Science (ABC)","v5.0-exp1",11,8,16,66,36,57,54,1,2,0,0,0,0,0,9
"12","College / Statistics and Data Science (ABC)","v5.0-exp1",12,6,14,73,52,61,61,0,0,0,0,0,0,0,12
"13","College / Statistics and Data Science (ABC)","v5.0",1,5,24,14,14,13,13,0,0,0,0,0,0,0,1
"14","College / Statistics and Data Science (ABC)","v5.0",2,11,26,82,71,63,54,0,9,0,0,0,0,2,17
"15","College / Statistics and Data Science (ABC)","v5.0",3,11,29,88,75,65,60,2,1,2,0,0,0,2,21
"16","College / Statistics and Data Science (ABC)","v5.0",4,16,19,133,91,96,81,2,9,3,1,0,0,1,36
"17","College / Statistics and Data Science (ABC)","v5.0",5,12,12,71,55,52,45,4,3,0,0,0,0,0,19
"18","College / Statistics and Data Science (ABC)","v5.0",6,14,19,100,79,78,67,5,4,0,1,1,0,0,22
"19","College / Statistics and Data Science (ABC)","v5.0",7,11,7,56,40,54,50,4,0,0,0,0,0,0,2
"20","College / Statistics and Data Science (ABC)","v5.0",8,8,12,60,42,57,50,5,1,0,0,0,1,0,3
"21","College / Statistics and Data Science (ABC)","v5.0",9,13,13,100,79,85,80,5,0,0,0,0,0,0,15
"22","College / Statistics and Data Science (ABC)","v5.0",10,7,12,54,30,50,50,0,0,0,0,0,0,0,4
"23","College / Statistics and Data Science (ABC)","v5.0",11,8,16,66,36,57,54,1,2,0,0,0,0,0,9
"24","College / Statistics and Data Science (ABC)","v5.0",12,6,14,73,52,61,61,0,0,0,0,0,0,0,12
"25","College / Statistics and Data Science (ABC)","v5.0",13,3,8,21,9,18,18,0,0,0,0,0,0,0,3
"26","College / Statistics and Data Science (ABC)","v5.1.1",13,3,8,21,9,18,18,0,0,0,0,0,0,0,3
"27","High School / Advanced Statistics and Data Science I (ABC)","v5.0",1,5,24,14,14,13,13,0,0,0,0,0,0,0,1
"28","High School / Advanced Statistics and Data Science I (ABC)","v5.0",2,11,26,82,71,63,54,0,9,0,0,0,0,2,17
"29","High School / Advanced Statistics and Data Science I (ABC)","v5.0",3,11,29,88,75,65,60,2,1,2,0,0,0,2,21
"30","High School / Advanced Statistics and Data Science I (ABC)","v5.0",4,16,19,133,91,96,81,2,9,3,1,0,0,1,36
"31","High School / Advanced Statistics and Data Science I (ABC)","v5.0",5,12,12,71,55,52,45,4,3,0,0,0,0,0,19
"32","High School / Advanced Statistics and Data Science I (ABC)","v5.0",6,14,19,100,79,78,67,5,4,0,1,1,0,0,22
"33","High School / Advanced Statistics and Data Science I (ABC)","v5.0",7,11,7,56,40,54,50,4,0,0,0,0,0,0,2
"34","High School / Advanced Statistics and Data Science I (ABC)","v5.0",8,8,12,60,42,57,50,5,1,0,0,0,1,0,3
"35","High School / Advanced Statistics and Data Science I (ABC)","v5.0",9,13,13,100,79,85,80,5,0,0,0,0,0,0,15
"36","High School / Advanced Statistics and Data Science I (ABC)","v5.0",10,7,12,54,30,50,50,0,0,0,0,0,0,0,4
"37","High School / Advanced Statistics and Data Science I (ABC)","v5.0",11,8,16,66,36,57,54,1,2,0,0,0,0,0,9
"38","High School / Advanced Statistics and Data Science I (ABC)","v5.0",12,6,14,73,52,61,61,0,0,0,0,0,0,0,12
"39","College / Statistics and Data Science (ABC)","v5.2",1,4,24,13,13,13,13,0,0,0,0,0,0,0,0
