"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"1","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.3 Doing Statistics with R",1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"2","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.4 Introduction to R Functions",1,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"3","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.5 Save Your Work in R Objects",1,5,15,0,0,0,0,0,0,0,0,0,0,0,0
"4","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.6 Goals of This Course",1,6,0,1,1,0,0,0,0,0,0,0,0,0,1
"5","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.7 Chapter 1 Review Questions",1,7,0,13,13,13,13,0,0,0,0,0,0,0,0
"6","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.1 Starting with a Bunch of Numbers",2,1,2,3,1,2,2,0,0,0,0,0,0,0,1
"7","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.2 From Numbers to Data",2,2,0,9,7,3,2,0,1,0,0,0,0,1,5
"8","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.3 A Data Frame Example: MindsetMatters",2,3,7,6,6,5,1,0,4,0,0,0,0,0,1
"9","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.4 Measurement",2,4,6,7,6,3,2,0,1,0,0,0,0,1,3
"10","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.5 Measurement (Continued)",2,5,0,3,2,3,2,0,1,0,0,0,0,0,0
"11","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.6 Sampling from a Population",2,6,1,2,2,0,0,0,0,0,0,0,0,0,2
"12","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.7 The Structure of Data",2,7,3,10,6,10,8,0,2,0,0,0,0,0,0
"13","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.8 Manipulating Data",2,8,7,7,6,5,5,0,0,0,0,0,0,0,2
"14","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.9 Summary",2,9,0,1,1,0,0,0,0,0,0,0,0,0,1
"15","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.10 Chapter 2 Review Questions",2,10,0,19,19,17,17,0,0,0,0,0,0,0,2
"16","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 2 - Understanding Data","2.11 Chapter 2 Review Questions 2",2,11,0,15,15,15,15,0,0,0,0,0,0,0,0
"17","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.1 The Concept of Distribution",3,1,0,2,1,0,0,0,0,0,0,0,0,2,0
"18","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.2 Visualizing Distributions with Histograms",3,2,7,10,9,9,8,0,0,1,0,0,0,0,1
"19","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.3 Shape, Center, Spread, and Weird Things",3,3,1,5,3,3,3,0,0,0,0,0,0,0,2
"20","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.4 The Data Generating Process",3,4,0,3,2,0,0,0,0,0,0,0,0,0,3
"21","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.5 The Back and Forth Between Data and the DGP",3,5,2,5,3,2,1,0,1,0,0,0,0,0,3
"22","College / Statistics and Data Science (ABC)","v5.0-exp1","Chapter 3 - Examining Distributions","3.6 The Back and Forth Between Data and the DGP (Continued)",3,6,6,4,3,2,2,0,0,0,0,0,0,0,2
