"","release","book","chapter","page","chapter_num","page_num"
"1","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.1 Welcome to Statistics",1,1
"2","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.2 What is Understanding?",1,2
"3","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.3 Doing Statistics with R",1,3
"4","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.4 Introduction to R Functions",1,4
"5","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.5 Save Your Work in R Objects",1,5
"6","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.6 Goals of This Course",1,6
"7","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.7 Chapter 1 Review Questions",1,7
"8","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.1 Starting with a Bunch of Numbers",2,1
"9","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.2 From Numbers to Data",2,2
"10","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.3 A Data Frame Example: MindsetMatters",2,3
"11","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.4 Measurement",2,4
"12","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.5 Measurement (Continued)",2,5
"13","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.6 Sampling from a Population",2,6
"14","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.7 The Structure of Data",2,7
"15","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.8 Manipulating Data",2,8
"16","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.9 Summary",2,9
"17","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.10 Chapter 2 Review Questions",2,10
"18","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.1 The Concept of Distribution",3,1
"19","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.2 Visualizing Distributions with Histograms",3,2
"20","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.3 Shape, Center, Spread, and Weird Things",3,3
"21","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.4 The Data Generating Process",3,4
"22","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.5 The Back and Forth Between Data and the DGP",3,5
"23","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.6 The Back and Forth Between Data and the DGP (Continued)",3,6
